Escuela_ID;Curso;División;Matrícula
1095;3°;5;28
1095;4°;1;14
1095;4°;2;13
1095;4°;3;24
1095;4°;4;22
1095;4°;5;13
1095;5°;1;22
1095;5°;2;17
1095;5°;3;25
1095;5°;4;14
1095;6°;1;13
1095;6°;2;20
1095;6°;3;12
1096;1°;11 ;23
1096;1°;1º;24
1096;1°;2º;26
1096;1°;3º;22
1096;1°;5°;25
1096;1°;6°;24
1096;1°;7º;24
1096;1°;9º;24
1096;2°;1;34
1096;2°;2;33
1096;2°;3º;32
1096;2°;4;33
1096;2°;5°;30
1096;2°;6°;35
1096;3°;1°;27
1096;3°;2;31
1096;3°;3°;39
1096;3°;4º;33
1096;3°;5°;36
1096;4°;1;41
1096;4°;2º;40
1096;4°;3º;28
1096;4°;4°;19
1096;5°;1;27
1096;5°;2;31
1096;5°;3º;23
1096;5°;4°;21
1096;6°;1º;29
1096;6°;2;24
1096;6°;3º;38
1098;1°;1ª;26
1098;1°;2ª;27
1098;1°;3ª;31
1098;1°;4ª;27
1098;1°;5ª;28
1098;2°;1ª;29
1098;2°;2ª;28
1098;2°;3ª;34
1098;2°;4ª;35
